Austrilia,death per 100000,,,,case per 100000,,,,until 6.3,,Total,death per 100000,,,,case per 100000,,
,male,female,total,,male,female,total,,,,,male,female,total,,male,female,total
0-9,0,0,0,,3,3,6,,,,0-9,0,0,0,,227,228,455
10~19,0,0,0,,8,8,16,,,,10~19,0,0,0,,444,549,993
20-29,0,0,0,,37,46,83,,,,20-29,1,0,1,,1517,2320,3837
30-39,0,0,0,,34,30,64,,,,30-39,5,2,7,,1823,2416,4239
40-49,0,0,0,,32,24,56,,,,40-49,25,5,30,,2092,2718,4810
50-59,0,0,0,,37,37,74,,,,50-59,107,29,136,,2688,3126,5814
60-69,1,0,1,,47,44,91,,,,60-69,304,122,426,,2914,2303,5217
70-79,2,1,3,,49,38,87,,,,70-79,882,374,1256,,3727,2560,6287
80+,7,5,12,,31,19,50,,,,80+,5252,3289,8541,,13316,13543,26859
,,,,,,,,,,,,,,,,,,
UK,death per 100000,,,,case per 100000,,,,until 5.27,,,,,,,,,
,male,female,total,,male,female,total,,,,,,,,,,,
0-9,0,0,0,,18,15,33,,,,,,,,,,,
10~19,0,0,0,,18,25,43,,,,,,,,,,,
20-29,0,0,0,,98,232,330,,,,,,,,,,,
30-39,0,0,0,,150,256,406,,,,,,,,,,,
40-49,10,0,10,,211,290,501,,,,,,,,,,,
50-59,31,15,46,,267,312,579,,,,,,,,,,,
60-69,86,42,128,,328,240,568,,,,,,,,,,,
70-79,233,115,348,,547,355,902,,,,,,,,,,,
80+,880,528,1408,,1619,1351,2970,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Italy,death per 100000,,,,case per 100000,,,,until 5.26,,,,,,,,,
,male,female,total,,male,female,total,,,,,,,,,,,
0-9,0,0,0,,38,36,74,,,,,,,,,,,
10~19,0,0,0,,58,62,120,,,,,,,,,,,
20-29,0,0,0,,177,240,417,,,,,,,,,,,
30-39,0,0,0,,221,276,497,,,,,,,,,,,
40-49,0,0,0,,267,367,634,,,,,,,,,,,
50-59,19,0,19,,426,472,898,,,,,,,,,,,
60-69,71,20,91,,527,324,851,,,,,,,,,,,
70-79,224,80,304,,710,441,1151,,,,,,,,,,,
80+,1462,924,2386,,3149,3836,6985,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Mexico,death per 100000,,,,case per 100000,,,,until 6.1,,,,,,,,,
,male,female,total,,male,female,total,,,,,,,,,,,
0-9,0,0,0,,4,4,8,,,,,,,,,,,
10~19,0,0,0,,8,7,15,,,,,,,,,,,
20-29,1,0,1,,55,49,104,,,,,,,,,,,
30-39,5,2,7,,127,96,223,,,,,,,,,,,
40-49,15,5,20,,160,113,273,,,,,,,,,,,
50-59,31,12,43,,183,117,300,,,,,,,,,,,
60-69,47,22,69,,180,109,289,,,,,,,,,,,
70-79,59,29,88,,180,99,279,,,,,,,,,,,
80+,119,59,178,,295,186,481,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Portugal,death per 100000,,,,case per 100000,,,,until 6.1,,,,,,,,,
,male,female,total,,male,female,total,,,,,,,,,,,
0-9,0,0,0,,77,76,153,,,,,,,,,,,
10~19,0,0,0,,93,114,207,,,,,,,,,,,
20-29,0,0,0,,361,439,800,,,,,,,,,,,
30-39,0,0,0,,354,408,762,,,,,,,,,,,
40-49,0,0,0,,305,385,690,,,,,,,,,,,
50-59,4,2,6,,314,411,725,,,,,,,,,,,
60-69,14,6,20,,282,277,559,,,,,,,,,,,
70-79,40,21,61,,305,254,559,,,,,,,,,,,
80+,178,132,310,,641,740,1381,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Spain,death per 100000,,,,case per 100000,,,,until 5.18,,,,,,,,,
,male,female,total,,male,female,total,,,,,,,,,,,
0-9,0,0,0,,0,0,0,,,,,,,,,,,
10~19,0,0,0,,30,39,69,,,,,,,,,,,
20-29,0,0,0,,182,384,566,,,,,,,,,,,
30-39,0,0,0,,258,445,703,,,,,,,,,,,
40-49,0,0,0,,366,543,909,,,,,,,,,,,
50-59,13,,13,,542,714,1256,,,,,,,,,,,
60-69,49,19,68,,724,621,1345,,,,,,,,,,,
70-79,190,73,263,,1076,726,1802,,,,,,,,,,,
80+,1540,928,2468,,5117,5135,10252,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Russia,death per 100000,,,,case per 100000,,,,until 6.3,,,,,,,,,
,male,female,total,,male,female,total,,,,,,,,,,,
0-9,0,0,0,,20,18,38,,,,,,,,,,,
10~19,0,0,0,,86,127,213,,,,,,,,,,,
20-29,0,0,0,,291,447,738,,,,,,,,,,,
30-39,0,0,0,,289,395,684,,,,,,,,,,,
40-49,0,0,0,,342,460,802,,,,,,,,,,,
50-59,4,,4,,462,514,976,,,,,,,,,,,
60-69,20,7,27,,448,343,791,,,,,,,,,,,
70-79,69,29,98,,480,352,832,,,,,,,,,,,
80+,358,200,558,,955,900,1855,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Denmark,death per 100000,,,,case per 100000,,,,until 6.3,,,,,,,,,
,male,female,total,,male,female,total,,,,,,,,,,,
0-9,0,0,0,,44,48,92,,,,,,,,,,,
10~19,0,0,0,,71,91,162,,,,,,,,,,,
20-29,0,0,0,,157,267,424,,,,,,,,,,,
30-39,0,0,0,,193,309,502,,,,,,,,,,,
40-49,0,0,0,,213,324,537,,,,,,,,,,,
50-59,3,0,3,,215,324,539,,,,,,,,,,,
60-69,10,6,16,,209,201,410,,,,,,,,,,,
70-79,46,17,63,,214,160,374,,,,,,,,,,,
80+,467,331,798,,964,927,1891,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Norway,death per 100000,,,,case per 100000,,,,until 6.2,,,,,,,,,
,male,female,total,,male,female,total,,,,,,,,,,,
0-9,0,0,0,,23,28,51,,,,,,,,,,,
10~19,0,0,0,,72,76,148,,,,,,,,,,,
20-29,0,0,0,,159,216,375,,,,,,,,,,,
30-39,0,0,0,,197,201,398,,,,,,,,,,,
40-49,0,0,0,,196,212,408,,,,,,,,,,,
50-59,2,0,2,,242,225,467,,,,,,,,,,,
60-69,6,0,6,,169,144,313,,,,,,,,,,,
70-79,19,9,28,,166,135,301,,,,,,,,,,,
80+,241,182,423,,545,449,994,,,,,,,,,,,
